ID,年度（平成）,問題番号,問題文,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,回答,解説
79,26,16,"次のａ～ｅの文は、公共測量における空中写真撮影の留意事項について述べたものである。
明らかに間違っているものだけの組合せはどれか。次の中から選べ。

a. 撮影計画においては、すべての主点位置が撮影区域内に収まるように設定する。
b. 同一コース内の隣接空中写真間の重複度は最小で53％、隣接コースの空中写真との重複度は最小で10％とする。
c. 撮影基準面は、撮影区域に対して一つを定めるが、高低差の大きい区域にあっては、航空機運航の安全を考慮し、数コース単位に設定することができる。
d. 撮影後に、空中写真上で対空標識が明瞭に確認できない場合は、必ず再設置をしなくてはならない。
e. 実際の撮影高度の、計画撮影高度に対するずれを評価する際には、撮影基準面高を考慮しなくてはならない。",ａ，ｂ,ａ，ｄ,ｂ，ｃ,ｃ，ｅ,ｄ，ｅ,2,"空中写真撮影に関する問題である。問題各文について考えると次のようになる。

a.間違い。撮影区域の外側まで主点位置（個々の撮影写真の中心）がないと、実体モデルを撮影区域内に納める事ができない（撮影区域内に実体空白部が生じる）。
（作業規程の準則 第125条1）

b.正しい。空中写真の重複度は撮影計画に基づいた適切な重複度となるよう努めなければならない。（作業規程の準則 第131条2,3）

c.正しい。問題文の通り。（作業規程の準則 第125条2）

d.間違い。対空標識が明瞭に確認できない場合は、対空標識設置総数のおおむね30％を超えない範囲で、刺針に代えることができる。（作業規程の準則 第118条2）

e.正しい。撮影高度は、対地高度に撮影区域内の撮影基準面高を加えたものである。

　よって、間違っている文章は、ａ，ｄとなる。"
80,26,17,"次のａ～ｅの文は、公共測量におけるGNSS/IMU 装置を用いた空中写真撮影について述べたものである｡ 
ア ～ オ に入る語句の組合せとして最も適当なものはどれか｡次の中から選べ。

a. GNSS/IMU 装置は、航空カメラとともにボアサイトキャリブレーションを行うものとし、その有効期間は　ア　である。
b. 固定局は、撮影区域内との基線距離を原則　イ　以内とする。
c. 撮影コース長は、　ウ　の累積誤差を考慮して概ね15 分以内で撮影できる距離とする。
d. GNSS 測量機のGNSS 観測データ取得間隔は、　エ　以下とする。
e. GNSS/IMU 装置は、撮影の前後に連続して　オ　以上の観測を実施するものとする。",６ヶ月　50 ㎞　　GNSS 　30 秒　1 分,１年　　50 ㎞　　IMU　　1 秒 　1 分,１年　　100 ㎞ 　IMU　　30 秒　5 分,１年　　100 ㎞ 　GNSS 　1 秒 　5 分,６ヶ月　50 ㎞　　IMU  　1 秒 　5 分,5,"GNSS/IMU装置を用いた空中写真撮影に関する問題である。ア～オに正しい語句を当てはめると次のようになる。

a.GNSS/IMU装置は、航空カメラとともにボアサイトキャリブレーションを行うものとし、その有効期間は 6ヶ月 である。（作業規程の準則 第122条2）

b.固定局は、撮影区域内との基線距離を原則 50㎞ 以内とする。（作業規程の準則 第125条8）
※やむを得ない場合でも70㎞を超えないものとする。

c.撮影コース長は、 IMU の累積誤差を考慮して概ね15分以内で撮影できる距離とする。（作業規程の準則 第125条7）

d.GNSS測量機のGNSS観測データ取得間隔は、 1秒 以下とする。（作業規程の準則 第132条3）

e.GNSS/IMU装置は、撮影の前後に連続して 5分 以上の観測を実施するものとする。（作業規程の準則 第132条4）

　よって、正しい語句の組合せは、５となる。"
81,26,18,"次の文は、公共測量における同時調整について述べたものである｡ 
ア ～ オ に入る語句の組合せとして最も適当なものはどれか。次の中から選べ。

同時調整では、　ア　を用いて、パスポイント、タイポイント、標定点の　イ　を測定し、標定点成果及び撮影時に得られた　ウ　を統合して調整計算を行い、各写真の　ウ　の成果値、パスポイント、タイポイント等の水平位置及び標高を決定する作業を行う｡
調整計算において、　エ　により取得された　ウ　を使用することで、これを使用しない場合と比較して、使用する標定点の点数を　オ　することができる。",デジタルステレオ図化機　写真座標　外部標定要素　GNSS/IMU装置　　　　少なく,デジタルステレオ図化機　地上座標　外部標定要素　GNSS/IMU装置　　　　多く,空中写真用スキャナ　　　写真座標　内部標定要素　デジタル航空カメラ　少なく,デジタルステレオ図化機　写真座標　内部標定要素　デジタル航空カメラ　多く,空中写真用スキャナ　　　地上座標　外部標定要素　デジタル航空カメラ　少なく,1,"空中写真測量における同時調整に関する問題である。ア～オに正しい語句を当てはめると次のようになる。

同時調整では、 デジタルステレオ図化機 を用いて、パスポイント、タイポイント、標定点の 写真座標 を測定し、標定点成果及び撮影時に得られた 外部標定要素 を統合して調整計算を行い、各写真の 外部標定要素 の成果値、パスポイント、タイポイント等の水平位置及び標高を決定する作業を行う｡
調整計算において、 GNSS/IMU により取得された 外部標定要素 を使用することで、これを使用しない場合と比較して、使用する標定点の点数を 少なく することができる。
（作業規程の準則 第157条 及び158条4）

※GNSS/IMUより外部標定要素が得られない場合（又は必要な精度が得られない場合）は、外部標定要素の観測データと基準点を使用して（または基準点のみで）調整計算を行う必要がある。"
82,26,22,"次のａ～ｅの文は、ユニバーサル横メルカトル座標系（UTM 座標系）と平面直角座標系（平成14年国土交通省告示第9 号）について述べたものである｡ 
ア ～ カ に入る語句の組合せとして最も適当なものはどれか。次の中から選べ。

a. UTM 座標系及び平面直角座標系ともに、　ア　図法を投影法として適用している。
b. UTM 座標系及び平面直角座標系の座標軸の北は、ともに　イ　方向である。
c. UTM 座標系では、中央経線から東西方向に約　ウ　km 離れたところで、縮尺係数は1.0000となり、この距離を越えたところでは、縮尺係数が1.0000 より　エ　なる。
d. UTM 座標系の一つのゾーン（座標帯）における南半球の座標値は、原点より南、かつ、西に位置する地点の座標値はすべて　オ　である。
e. 平面直角座標系の一つの系における座標値は、原点より南、かつ、西に位置する地点の座標値はすべて　カ　である。",ガウス・クリューゲル　真北　180　大きく　正(＋)　負(－),ガウス・クリューゲル　磁北　90 　小さく　負(－)　正(＋),ランベルト　　　　　　真北　90 　大きく　正(＋)　負(－),ランベルト　　　　　　磁北　180　小さく　負(－)　正(＋),ガウス・クリューゲル　真北　90 　大きく　負(－)　負(－),1,"ＵＴＭ座標系と平面直角座標系の特徴に関する問題である。正しい語句を当てはめると次のようになる。

a.UTM座標系及び平面直角座標系ともに、 ガウス・クリューゲル 図法を投影法として適用している。
b.UTM座標系及び平面直角座標系の座標軸の北は、ともに 真北 方向である。
c.UTM座標系では、中央経線から東西方向に約 180 km離れたところで、縮尺係数は1.0000となり、この距離を越えたところでは、縮尺係数が1.0000より 大きく なる。
d.UTM座標系の一つのゾーン（座標帯）における南半球の座標値は、原点より南、かつ、西に位置する地点の座標値はすべて 正（＋） である。
e.平面直角座標系の一つの系における座標値は、原点より南、かつ、西に位置する地点の座標 値はすべて 負（－） である。"
83,26,23,"次の文は、地理情報標準と日本版メタデータプロファイル第2 版（以下｢JMP2.0｣という｡）について述べたものである。
明らかに間違っているものはどれか。次の中から選べ。",地理情報標準では、地理情報システム（GIS）で扱うベクタデータのデータフォーマットを単一のものに定めているわけではない。,地理情報標準の利用が進むことで、地図データを整備する際の重複投資の排除が期待できる。,地理情報標準に準拠した製品仕様書は、データ作成時には発注時の仕様図書の一部として、データ交換時には説明書として使用することができる。,JMP2.0 で設定されているすべての記述項目は、国際標準化機構の地理情報に関する専門委員会（ISO/TC211）で定めている包括的メタデータの中に含まれている。,JMP2.0 では、位置に関する情報を住所で記述することは認められていない。,5,"地理情報標準(JSGI2.0)及びJMP2.0に関する問題である。問題各文について考えると次のようになる。

1.正しい。地理情報標準では、地理情報を異種システムにおいて相互利用する際に必要な、データ構造、記録方法、品質等を定めており、具体的なフォーマットを定めている訳ではない。

2.正しい。データを相互利用しやすくなり、異なる整備主体で整備されたデータの共用やシステムへの依存度が低くなるため、重複投資を排除する期待が持てる。

3.正しい。問題文の通り。共通のルールに沿って作成された製品仕様書は問題文のように使用する事ができる。

4.正しい。ISOにはコアメタデータを含む包括的メタデータ（約400項目）があり、JMP2.0ではこれと整合性を保ちながら、包括的メタデータから必要とされる項目をISOからピックアップしている。

5.間違い。位置情報は「住所」による記述である。"
84,26,24,"次の文は、地理空間情報活用推進基本法（平成19 年法律第63 号）における基盤地図情報について述べたものである。
明らかに間違っているものはどれか。次の中から選べ。",基盤地図情報は、電子地図上における地理空間情報の位置を定めるための基準とされている。,"都市計画基図、道路台帳図、河川基盤地図、国土地理院刊行の1/25,000 地形図は、基盤地図情報の整備に活用することができる。",国は、その保有する基盤地図情報を原則としてインターネットを利用して無償で提供することとされている。,基盤地図情報に係る項目は、国土交通省令で、測量の基準点、海岸線、道路の中心線、建築物の外周線などの13 項目が定められている。,基盤地図情報として必要な精度は、国土交通省令で、都市計画区域内及び都市計画区域外それぞれに定められている。,4,"地理空間情報活用推進基本法に関する問題である。問題各文について考えると次のようになる。

1.正しい。地理空間情報活用推進基本法 第2条3。

2.正しい。問題文のような基盤地図情報項目が含まれる測量成果を活用して整備・更新される。

3.正しい。地理空間情報活用推進基本法 第18条2。

4.間違い。基盤地図情報の項目としては、問題文にある項目を含み国土交通省令として13項目が定められている
（測量の基準点、海岸線、道路区域界、河川区域界、行政区画の境界線、道路縁、河川堤防の表法肩の法線、軌道の中心線、標高点、水涯線、建築物の外周線、市町村の町若しくは字の境界線、街区の境界線）。
この中に、問題文にある「道路の中心線」は含まれていない。

5.正しい。平面位置の誤差と高さの誤差がそれぞれ定められている。"
85,26,26,"次の文は、公共測量における用地測量について述べたものである。
明らかに間違っているものはどれか。次の中から選べ。",公図等転写連続図の作成において、隣接する公図間で字界の線形に相違がある場合は、接合部を合致させるための調整はせず、公図に記載されている字界をそのまま転写する。,境界点に既設の標識が設置されている場合は、関係権利者の同意を得ずにそれを境界点とすることができる。,境界測量は、近傍の４級基準点以上の基準点に基づき、放射法等により行うものとするが、やむを得ない場合は、補助基準点を設置し、それに基づいて行うことができる。,境界点間測量は、境界点の精度確認のため、隣接する境界点間又は境界点と用地境界杭を設置した点との全辺の距離について測定しなければならない。,平地における境界点間測量において、境界点間の距離が20ｍ未満の場合、計算値と測定値の較差の許容範囲は10 ㎜とする。,2,"用地測量の一般事項に関する問題である。各選択肢について考えると次のようになる。

1.正しい。公図等の転写において転写連続図は、無理な調整はせず、公図等に記載されているままに転写し作成する。（作業規程の準則 第396条）

2.間違い。境界確認において、境界点に既設の標識が設置されている場合は、関係権利者の同意を得てそれを境界点とすることができる。（作業規程の準則 第402条4）

3.正しい。問題文の通り。境界測量の方法に関する問題である。（作業規程の準則 第404条）

4.正しい。問題文の通り。境界点間測量では、境界測量の計算結果と比較を行う。（作業規程の準則 第409条2）

5.正しい。問題文の通り。境界点間の距離が20ｍ未満の場合、その格差の許容範囲は、平地で10㎜、山地で20㎜となる。（作業規程の準則 第409条2）"
86,26,28,"次の文は、公共測量における河川測量について述べたものである。
明らかに間違っているものはどれか。次の中から選べ。",距離標設置測量をネットワーク型RTK 法によって行う場合は、干渉測位方式により１セット行うものとし、間接観測法又は単点観測法を用いるものとする。,距離標は、あらかじめ地形図上で位置を選定し、その座標値に基づいて、近傍の３級基準点等から放射法等により設置するものとする。,水準基標は、２級水準測量により設置するものとし、設置間隔は5 ㎞から20 ㎞までを標準とする。,定期縦断測量は、平地では３級水準測量により行い、山地においては４級水準測量により行うものとする。ただし、地形、地物等の状況によっては、４級水準測量に代えて間接水準測量により行う事ができる。,定期縦断測量において、間接水準測量により行う場合の閉合差の許容範囲は、簡易水準測量の閉合差を準用する。,1,"河川測量の一般事項に関する問題である。問題各文について考えると次のようになる。

1.間違い。観測測位方式では、２セット行う。１セットではない。間接観測法又は単点観測法に関しては、問題文の通り。（作業規程の準則 第374条3）
※路線測量の線形決定条件点の設置方法と同様である。（作業規程の準則 第350条3の2）

2.正しい。問題文の通り。（作業規程の準則 第350条1）

3.正しい。問題文の通り。（作業規程の準則 第376条1～2）

4.正しい。問題文の通り。（作業規程の準則 第378条3）

5.正しい。問題文の通り。間接水準測量は、ＴＳを用いた単観測昇降式による往復観測である。（作業規程の準則 第378条3、第359条8 準用）"
87,31,1,"次のａ～ｅの文は，測量法（昭和24 年法律第188 号）に規定された事項について述べたものである。
明らかに間違っているものだけの組合せはどれか。次の中から選べ。

a. 　公共測量を実施する者は，当該測量において設置する測量標に，公共測量の測量標であること及び測量計画機関の名称を表示しなければならない。
b. 　測量計画機関は，自ら計画した測量を実施してはならない。
c. 　基本測量及び公共測量以外の測量を実施しようとする者は，あらかじめ，国土交通省令で定めるところにより，その旨を国土交通大臣に届け出なければならない。
d. 　基本測量若しくは公共測量に従事する者又はその他の者で，基本測量又は公共測量の測量成果をして，真実に反するものたらしめる行為をした者は，懲役又は罰金に処する。
e. 　基本測量の測量成果及び測量記録の謄本又は抄本の交付を受けようとする者は，国土交通省令で定めるところにより，国土交通大臣に申請をしなければならない。",a，c,a，d,b，d,b，e,c，e,4,"測量法に関する問題である。問題各文について考えると次のようになる。

a. 正しい。測量法 第37条「公共測量の表示等」に関する文章である。
　
b. 間違い。測量法 第7条「測量計画機関」に関する文章である。測量計画機関が、自ら計画を実施する場合には、測量作業機関となることができる。

c. 正しい。測量法 第46条「届出等」に関する文章である。

d. 正しい。測量法 第62条1「罰則」に関する文章である。1年以下の懲役又は50万円以下の罰金に処せられる。

e. 間違い。測量法 第28条「測量成果の公開」に関する文章である。申請するのは、国土交通大臣ではなく、国土地理院の長である。

よって、明らかに間違っている文章は、4.のb,eである。"
88,31,2,"次のａ～ｅの文は，国際地球基準座標系（International Terrestrial Reference Frame）（以下「ITRF」という。）について述べたものである。
明らかに間違っているものだけの組合せはどれか。次の中から選べ。

a. 　ITRF は，GNSS などの宇宙測地技術を用いた観測に基づき構築・維持されている。
b. 　ITRF のX 軸は経度0 度の子午線と赤道の交点を通る直線である。
c. 　ITRF のY 軸は東経90 度の子午線と赤道の交点を通る直線である。
d. 　ITRF で表される三次元直交座標（X，Y，Z）のZ の値は，標高である。
e. 　日本の測地成果は，ITRF が更新されると連動して更新される。",a，c,a，d,b，d,b，e,c，e,5,"世界測地系ITRF座標系に関する出題である。問題各文について考えると次のようになる。

a. 正しい。世界測地系は世界各国での共通利用を目的に、わが国を含む国際協力で構築されている。世界測地系は、VLBI、GNSS等の高精度な宇宙測地技術により構築維持されている。

b. 正しい。Ｘ軸をグリニッジ子午線（経度0度）と赤道との交点方向に、Ｙ軸を東経90度の方向に、Ｚ軸を北極の方向としている。

c. 正しい。Ｘ軸をグリニッジ子午線（経度0度）と赤道との交点方向に、Ｙ軸を東経90度の方向に、Ｚ軸を北極の方向としている。

d. 間違い。ITRF座標系では地球の重心に原点を置き、Z軸を北極（地軸の北端）にとっている。ITRFで表されるZの値は地球重心からの値、いわゆる楕円体高となる。ここから標高を求めるには（楕円体高－ジオイド高）を行う必要がある。

e. 間違い。2020年現在、日本の測地成果は「測地成果2011」である。これは2011年の東北地方太平洋沖地震に伴い大きな地殻変動が観測されたため測地成果2000が改定されたものである。
ITRF系は、常に最新の宇宙測地データを使って更新されていき、今後も精度を上げるような変更がなされるが、その変化量は非常に小さく、また、既に測量には十分な精度が得られているので実用上は我が国の測地基準系を変更する必要はない。

　よって、明らかに間違っているのは5．のd,eとなる。"
89,31,3,"次の文は，地理情報標準プロファイル（以下「JPGIS」という。）について述べたものである。
明らかに間違っているものはどれか。次の中から選べ。",JPGIS は，地理情報に関する国際規格（ISO 規格）及び日本工業規格（JIS 規格）の中から，基本的な要素を抽出し，体系化したものである。,測量計画機関が公共測量を実施しようとするときは，得ようとする測量成果の製品仕様書を，JPGIS に準拠して作成しなければならない。,JPGIS で定義する概念スキーマは，HTML（Hyper Text Markup Language）を使用して記述する。,JPGIS に準拠して整備されたデータがすべて同じXML 形式で作成されているわけではない。,国土地理院が整備した基盤地図情報は，JPGIS に準拠して作成されており，インターネットで無償で提供されている。,3,"1. 正しい。JPGISとは、地理情報標準プロファイル（Japan Profile for Geographic Information Standards）の略称で、最新の地理情報に関する国際規格（ISO191**シリーズ）、日本産業規格（JISX71**シリーズ）に準拠し、これら規格の中から実利用に必要な内容を抽出・体系化した実用版の規格であるJPGISが作成された。

2. 正しい。測量計画機関は得ようとする測量成果の種類、内容、構造、品質等を示す仕様書（以下「製品仕様書」という。）を定めなければならない。製品仕様書は、「地理情報標準プロファイル（JPGIS）」に準拠しなければならない。

3. 間違い。JPGISは地理空間情報の概念スキーマ（構造）を記述して符号化するための基本的な要素を抽出し体系化したものである。JPGISで定義するスキーマは統一モデル化言語（UML：Unified Modeling Language）が用いられている。

4. 正しい。JPGISはXML形式で符号化されているが、これには付属書8と付属書12の符号化規則がある。付属書8はISO19118附属書Aを参考に日本が独自に規定した符号化の方法で、付属書12はGML（Geography Markup Language：国際規格（ISO19136））と呼ばれる地理空間データをXMLを使用して符号化するための方法である。附属書8と附属書12は、UMLクラス図からXMLSchemaへのマッピング規則が異なるため、附属書8に基づく地理空間データと附属書12（GML）に基づく地理空間データは、異なるXML文書として表現される。

5. 正しい。基盤地図情報は、基盤地図情報25000（日本全国）基盤地図情報2500（日本全国の都市計画区域）基盤地図情報数値標高モデル（日本全国）などがある。公開方法は 各公開サイトからのダウンロードで、地図データ形式は基盤地図情報がJPGIS形式（XML形式）、国土数値情報はJPGIS形式、shape形式である。

　よって、明らかに間違っているのは3．となる。"
90,31,6,"次のａ〜ｅの文は，測量法（昭和24 年法律第188 号）における測量の基準について述べたものである。
明らかに間違っているものだけの組合せはどれか。次の中から選べ。

a. 　基本測量及び公共測量における位置は，地理学的経緯度及び平均海面からの高さで表示する。
ただし，場合により，地理学的経緯度及び楕円体からの高さで表示することができる。
b. 　基本測量及び公共測量における距離及び面積は，測量法で規定する回転楕円体の表面上の値で表示する。
c. 　測量の原点は，日本経緯度原点及び日本水準原点とする。ただし，離島の測量その他特別の事情がある場合において，国土地理院の長の承認を得たときは，この限りではない。
d. 　測量法で規定する世界測地系とは，地球を扁平な回転楕円体であると想定して行う地理学的経緯度の測定に関する測量の基準をいう。
e. 　測量法で規定する回転楕円体は，その中心が地球の重心と一致し，その長軸が地球の自転軸と一致するものである。","a, d","a, e","b, c","b, d","c, e",2,"測量の基準（測量法 第11条）に関する問題である。問題各文について考えると次のようになる。

a. 間違い。地理学的経緯度も直角座標も極座標も平均海面からの高さとなる。ただし、場合により地心直交座標で表示することができる（測量法 第11条1-1）。

b. 正しい。問題文の通りである。（測量法 第11条1-2）。

c. 正しい。問題文の通りである（測量法 第11条1-3）。

d. 正しい。問題文の通り（測量法 第11条3）

e. 間違い。測量法で規定する回転楕円体は、次の通りである。長軸ではなく短軸が自転軸と一致する。
1. その長半径及び扁へん平率が、地理学的経緯度の測定に関する国際的な決定に基づき政令で定める値であるものであること。
2. その中心が、地球の重心と一致するものであること。
3. その短軸が、地球の自転軸と一致するものであること。

よって、明らかに間違っているものは2．のa,eとなる。"
91,31,7,"次の文は，公共測量において実施するトータルステーションを用いた基準点測量の精度管理について述べたものである。
明らかに間違っているものはどれか。次の中から選べ。",観測に使用する主要な機器は，作業前及び作業中に適宜点検を行い必要な調整をする。,観測点における角観測の良否を判定するため，倍角差，観測差，高度定数の較差を点検する。,偏心点を設ける場合，偏心距離は測点間距離の6 分の1 以下とする。,既知点間の水平位置及び標高の閉合差を計算し観測の良否を判定する。,厳密水平網平均計算及び厳密高低網平均計算による新点位置及び新点標高の標準偏差の許容範囲は100 mm を標準とする。,5,"TSによる基準点測量に関する問題である。問題各文について考えると次のようになる。

1. 観測に使用する主要な機器は，作業前及び作業中に適宜点検を行い必要な調整をする。
正しい。問題文の通り（作業規程の準則 第14条3）。

2. 正しい。観測値の点検及び再測（作業規程の準則 第38条1）。観測値について点検を行い、許容範囲を超えた場合は、再測するものとする。水平角観測では倍角差、観測差。鉛直角観測では高度定数の較差について点検を行う。

3. 正しい。作業規程の準則 第23条2 １～４級基準点測量における偏心距離の制限は、S/e≧6 ここで、Sは「測点間距離」とある。電子基準点のみを既知点とする場合は「新点間の距離」である。

4. 正しい。点検路線は既知点と既知点を結合させ、選定されたすべての点検路線について、水平位置および標高の閉合差を計算し、観測地の良否を判定する必要がある（作業規程の準則 第42条1）。

5. 間違い。新点位置の標準偏差の許容範囲は100㎜、新点標高の標準偏差の許容範囲は200㎜である（作業規程の準則 第43条3-1-ハ）。

　よって、明らかに間違っている文章は5．となる。"
92,31,9,"次の文は，公共測量におけるGNSS 測量機を用いた基準点測量について述べたものである。
明らかに間違っているものはどれか。次の中から選べ。",対流圏における電波の伝搬遅延に起因する誤差は，２周波の観測により軽減することができる。,アンテナ位相特性が異なるアンテナ同士でのGNSS 測量では，PCV 補正を適用することにより異機種間観測での精度を確保することができる。,GPS，準天頂衛星システム，GLONASS の衛星を組み合わせて測量を行うことができる。,GNSS 衛星の軌道情報は放送暦を使用する。,ネットワーク型RTK 法は，配信事業者で算出された補正データ又は面補正パラメータを，携帯電話などの通信回線を介して移動局で受信し，移動局側において即時に解析処理を行い位置を求める観測方法である。,1,"GNSS測量機を用いた基準点測量に関する問題である。問題各文について考えると次のようになる。

1. 間違い。2周波の観測で軽減できるのは、「電離層遅延誤差」である。対流圏遅延誤差を軽減するためには、気象補正を基線解析ソフトに設定されているデフォルト値を用いて行うことである。

2. 正しい。PCVとはGNSS衛星からの電波の入射角に応じてアンテナの受信位置が変化する状況をいう。このズレの量を補正することにより受信位置の補正が行われる。他機種のアンテナや電子基準点を使用する場合にはPCV補正量を用いて基線解析を行う必要がある。同機種のアンテナではPCV補正の必要はない。

3. 正しい。スタティック法ではGPS・準天頂衛星を使用する場合は４衛星以上。GPS・準天頂衛星とGLONASS衛星を併用する場合は同時に５衛星の使用が必要である。

4. 正しい。放送暦とは個々の衛星の軌道情報でありこれを使用する必要がある。軌道情報とは大きく概略暦、放送暦、精密暦とあり、概略暦と放送暦はGNSS衛星から航法メッセージの一つとして送信されている。放送暦には、GNSS衛星の位置座標を決めるのに必要な軌道傾斜角、昇交点赤経、近地点引数、長半径、離心率、平均近点離角と呼ばれる軌道要素と楕円の形の時間変化を表す補正係数が含まれている。

5. 正しい。ネットワーク型RTK法の概要である。ネットワーク型RTK法は現地で受信された衛星データと３点以上の電子基準点からの補正情報を組合せてリアルタイムで現地の位置を求める手法である。補正情報はデータ配信事業者からリアルタイムで配信され、VRS（仮想基準点）方式とFKP（面補正パラメータ）方式がある。基準局設置の必要がなく、従来に比べて省力化とコストダウンが図れる。

よって、明らかに間違っているのは1．となる。"
93,31,11,"次の文は，公共測量におけるGNSS 測量機を用いた標高の測量（以下「GNSS 水準測量」という。）について述べたものである。
明らかに間違っているものはどれか。次の中から選べ。",GNSS 水準測量では，スタティック法により観測を行う。,GNSS 水準測量では，既知点として，水準測量により標高が取り付けられた電子基準点を使用することができる。,GNSS 水準測量では，セミ・ダイナミック補正を行う。,GNSS 水準測量では，高精度なジオイド・モデルを用いることにより，近傍に水準点がない場合でも３級水準点を設置することができる。,GNSS 水準測量では，電波の大気遅延が高さ方向の精度に影響することから，観測時の気象条件に十分注意する。,3,"GNSS測量による標高の測量マニュアル（H29.2）（GNSS水準測量）に関する問題である。
　問題各文について考えると次のようになる。

1. 正しい。GNSS水準測量はスタティック法により観測を行う。使用衛星数はGPS・準天頂衛星の場合５衛星以上、GPS・準天頂衛星及びGLONASSの場合６衛星以上である。

2. 正しい。GNSS水準測量を行う場合の既知点の種類は、一～二等水準点、電子基準点（「標高区分：水準測量による」に限る）、１～２級水準点である。また既知点数は３点以上である。

3. 間違い。マニュアルの改正前は、既知点座標及び楕円体高はセミ・ダイナミック補正による今期座標としていたが、マニュアル改正後は、元期以降に標高成果を改正している場所においてセミ・ダイナミック補正を行うと、二重補正となるためセミ・ダイナミック補正を行いわないものとした。

4. 正しい。高精度化されたジオイド・モデル「日本のジオイド2011 ver.2」が整備された。これによりGNSS水準測量が実施できるようになった。

5. 正しい。作業地域の気象条件に注意する必要があるのは、電波の大気による遅延（大気遅延）である。大気遅延は基線解析ソフトに設定されている標準値を用いて補正され、電離層遅延はL1L2の２周波数帯の組合せで消去される。

　よって、明らかに間違っている文章は3．となる。"
94,31,12,"次のａ～ｅの文は，水準測量における誤差とその対策について述べたものである。
　ア　 ～　　　オ　 に入る語句の組合せとして最も適当なものはどれか。
次の中から選べ。

a. 　標尺の零目盛が正しくないために生じる誤差を零点誤差といい，レベルのすえつけ回数を 　ア　 にすることで消去できる。
b. 　レベルの鉛直軸が傾いているために生じる誤差を鉛直軸誤差といい，前後の標尺を結ぶ直線上にレベルを置き，三脚の特定の１本を常に 　イ　 に対向するように整置し観測することで小さくすることができる。
c. 　レベルの視準線と 　ウ　 が平行でないために生じる誤差を視準線誤差といい，前視・後視の視準距離を等しくすることで消去できる。
d. 　地表面に近づくと気温が高くなり大気密度が変化することにより視準線が屈折し生じる誤差を大気の屈折誤差といい，傾斜地において視準距離を 　エ　 し，地表に近い標尺の下方付近での観測を避けることにより小さくすることができる。
e. 　地球の曲率によって生じる誤差を 　オ　 による誤差といい，前視・後視の視準距離を等しくすることで消去できる。",偶数回　　同一の標尺　　鉛直軸　　　　短く　　球差,奇数回　　同一の標尺　　鉛直軸　　　　長く　　球差,奇数回　　異なる標尺　　気ほう管軸　　短く　　気差,偶数回　　異なる標尺　　鉛直軸　　　　長く　　気差,偶数回　　同一の標尺　　気ほう管軸　　短く　　球差,5,"水準測量の誤差に関する問題である。ア～オに入る語句を考えると次のようになる。

ア：偶数回：零目盛誤差は往路と復路の標尺を入替えることや測定回数を偶数回にすることにより消去できる

イ：同一の標尺：鉛直軸誤差は、望違鏡の鉛直軸が傾いているために生じる誤差である。この誤差は、三脚の特定の１本を常に同一の標尺に向けて整置し、観測することで小さくすることができる。

ウ：気ほう管軸：視準線誤差の消去法である。視準線誤差は視準線と気泡管軸が平行でないために生じる誤差である。

エ：短く：大気の屈折誤差は、大気密度の大きい上方に視準線（光）が曲がる誤差である。特に傾斜地では地表面近くを視準することになるため、問題文のように視準距離を短くする必要がある。

オ：球差：地球が球面体であるために生じる誤差。視準距離を等しくすることにより、誤差が打ち消しあい消去される。

　よって、正しい語句の組み合わせは5．となる。"
95,31,15,"次の文は，公共測量における地形測量のうち，トータルステーション（以下「TS」という。）又はGNSS 測量機を用いた現地測量について述べたものである。
明らかに間違っているものはどれか。
次の中から選べ。",TS による測量で地形，地物などの測定を行う場合は，必ずRTK 法による測量を併用して実施する必要がある。,ネットワーク型RTK 法により観測を行う場合は，観測点において上空視界が確保できれば，GNSS 測量機1 台で観測作業を行うことができる。,ネットワーク型RTK 法による地形，地物などの測定は，間接観測法又は単点観測法により行う。,キネマティック法又はRTK 法による地形，地物などの測定は，基準点又はTS 点にGNSS 測量機を整置し，放射法により行う。,キネマティック法又はRTK 法によるTS 点の設置で，GPS 衛星と準天頂衛星を用いて観測する場合，使用する衛星数は5 衛星以上とし，セット内の観測回数はFIX 解を得てから10 エポック以上行うことを標準とする。,1,"TS又はGNSS測量機を用いた現地測量に関する問題である。問題各文について考えると次のようになる。

1. 間違い。現地測量では、TS等又はGNSS測量機を用いて、又は併用して、地形、地物等を測定し、数値地形図データを作成する作業である。

2. 正しい。ネットワーク型RTK法では、配信事業者から配信されたデータとGNSS衛星からのデータを移動局で受信して解析処理後に基線ベクトルを求める手法である。GNSS測量機１台での観測作業が可能である。

3. 正しい。問題文の通りである。間接観測法は２台同時観測方式または１台準同時観測方式により基線ベクトルを求める。

4. 正しい。問題文の通りである。観測は１セット、使用衛星数は５個以上（GPS・準天頂衛星を使用）である。

5. 正しい。問題文の通り。データ取得間隔は１秒以上（キネマティック法は５秒以下）である。

　よって、明らかに間違っているのは１．となる。"
